video_id,comment_count,comments_status,view_count,like_count,error,comments_actually_available,comments_reason,transcript_actually_available,transcript_reason
BDdKTnoRXuM,19,enabled,9703,67.0,nan,True,ok,True,ok
lVU8Hd2P8Ao,605,enabled,7116073,14084.0,nan,True,ok,True,ok
OK9udPK5a4Q,291,enabled,296998,1124.0,nan,True,ok,True,ok
tdFLruEV__U,496,enabled,216418,4360.0,nan,True,ok,True,ok
nx5HEciiKnQ,2887,enabled,1549459,16554.0,nan,True,ok,True,ok
n9IFaBH2vdk,2585,enabled,2738448,29272.0,nan,True,ok,True,ok
voNBzuI7IJ4,1024,enabled,5373226,18187.0,nan,True,ok,True,ok
XL_HO6oR44w,4874,enabled,2683897,24840.0,nan,True,ok,True,ok
SUHOWVgiBVw,17,enabled,7094,205.0,nan,True,ok,True,ok
dZclrwbNumw,366,enabled,117883,1303.0,nan,True,ok,True,ok
JPXyHVukMWE,734,enabled,1406407,6371.0,nan,True,ok,True,ok
mSwUNarKjnM,119,enabled,124467,1406.0,nan,True,ok,True,ok
4eO9SS3wvLY,5475,enabled,13389187,81274.0,nan,True,ok,True,ok
8hsm2QIEBkY,71,enabled,253454,1489.0,nan,True,ok,True,ok
ibYK8725OzM,29,enabled,26794,217.0,nan,True,ok,True,ok
rSlCVtsx3-I,6658,enabled,10281910,60753.0,nan,True,ok,True,ok
meWZBNSst0I,33612,enabled,20617315,127183.0,nan,True,ok,True,ok
luKsEWiGl7Y,5686,enabled,2048193,30785.0,nan,True,ok,True,ok
4GqxfvyIKTo,39,enabled,29094,352.0,nan,True,ok,True,ok
BBdUlJkqILQ,644,enabled,380887,5785.0,nan,True,ok,True,ok
dY_4ZpDxr0w,48,enabled,24018,506.0,nan,True,ok,True,ok
6IcTaDsLvdM,93,enabled,37854,532.0,nan,True,ok,True,ok
YNHFIA7Nlb4,1470,enabled,2931960,17679.0,nan,True,ok,True,ok
nUTtPoNUfYg,81,enabled,19286,758.0,nan,True,ok,True,ok
R9E-kkGdF0Q,68,enabled,2867,68.0,nan,True,ok,True,ok
Nte2Yt71ZQs,6238,enabled,8705701,97539.0,nan,True,ok,True,ok
Ib9wJOgH5Z0,666,enabled,1943524,7948.0,nan,True,ok,True,ok
lAB94vfRBXg,2949,enabled,1131955,7908.0,nan,True,ok,True,ok
_8P5tzURxek,1476,enabled,1099792,7817.0,nan,True,ok,True,ok
NC0zIJrX4sk,1750,enabled,1671214,8607.0,nan,True,ok,True,ok
5n38XDmdm_A,57,enabled,21581,349.0,nan,True,ok,True,ok
5Wallpu_h-c,46,enabled,12140,495.0,nan,True,ok,True,ok
MMIgYCpMbI4,836,enabled,3806721,11216.0,nan,True,ok,True,ok
xkpm22ZpmVI,63,enabled,80039,566.0,nan,True,ok,True,ok
_CtT6N4kjvU,0,disabled,2404648,26294.0,nan,False,disabled,True,ok
GmZpqiFecBQ,239,enabled,95640,1790.0,nan,True,ok,True,ok
qaS-PtwBUEQ,12928,enabled,32782174,370640.0,nan,True,ok,True,ok
7kvEMyd15Ac,272,enabled,88141,1870.0,nan,True,ok,True,ok
OIscaRDn6oU,1438,enabled,17849536,18969.0,nan,True,ok,True,ok
Jr964GXQ0po,419,enabled,649057,7640.0,nan,True,ok,True,ok
