"video_id,comment_count,comments_status,view_count,like_count,error"
"DM91100gT4c,3425,enabled,13332052,113533,"
"_oRBarHnMgY,147,enabled,60207,623,"
"mW_t_nKqqaQ,38,enabled,29301,1132,"
"fwMsHbBlzG8,6,enabled,2071,45,"
"amBbZ7PcJGk,3876,enabled,8593118,69312,"
"WOw1mO6sx5M,12794,enabled,2499835,13998,"
"Kp8u_BX3gUA,10588,enabled,1381010,33411,"
"sfwnXVKdCAo,484,enabled,475601,4469,"
"uBuiM4_Bi2U,0,disabled,31724,346,"
"bpukw-UZgyQ,161,enabled,83281,2115,"
"awM6T_1Znaw,146,enabled,154689,1656,"
"OOhLRXWLHS0,2899,enabled,1882752,38533,"
"dLqOGq9tQKQ,979,enabled,1220924,6667,"
"E_K8IuJ0YJc,288,enabled,100468,2313,"
"aaU1Al8cMIk,493,enabled,2124018,9799,"
"ZFBvaOiYH9U,509,enabled,295700,5497,"
"28BdDT49BuE,884,enabled,4273023,22133,"
"JvHU-UOPrGs,6976,enabled,6944321,48114,"
"TUPLEVJXOXk,20,enabled,29306,331,"
"F8zvYRT8hxg,184,enabled,721428,6219,"
"YhkQQMDtRnE,15189,enabled,4589768,81655,"
"fZEwjx9kFNU,105,enabled,78238,1748,"
"7p_nPxfqNFo,55,enabled,85745,623,"
"OT5SWXebDww,147,enabled,2452388,13737,"
"mrra4A3ARUA,602,enabled,325160,4419,"
"6HToU3E6zFE,10353,enabled,3149359,34199,"
"didpRr0hCqM,7838,enabled,9491974,49151,"
"149lO9e-CjM,1922,enabled,2429996,21885,"
"PNG75B-EwDE,63,enabled,94296,1387,"
"a2-6F2zOk30,7846,enabled,19123929,151476,"
"EGbQk0ikxe0,69,enabled,28614,649,"
"MWj6STevPD8,1450,enabled,477615,3090,"
"Pq08trKEufo,2676,enabled,9214900,49721,"
"xIe-ejegc-4,2034,enabled,1782286,25177,"
"NESz9vIMOuo,0,disabled,55184,514,"
"NiLl_f5Llwg,2384,enabled,3841516,66372,"
"_v3ptRMam50,102,enabled,44246,622,"
"trVSZw-C52E,13056,enabled,11504339,106109,"
"3_q8O8xQnlQ,5483,enabled,9742532,53006,"
"fO6cjC0Op6s,1022,enabled,923910,7904,"
"K11IeKCIu6M,740,enabled,3469965,20572,"
"8HlkCfYC6f4,41,enabled,14931,298,"
"t4OEBQjE0bk,524,enabled,555619,5104,"
"aEP346zFHLM,2109,enabled,2590123,9449,"
"RLHVZ2elQqY,108,enabled,4440,79,"
"vEzOylq9rnQ,24518,enabled,4525903,149745,"
"lUkJiYVL4ow,2001,enabled,5566679,34638,"
"15m-p0gVNE4,10,enabled,5405,269,"
"h0GohGRRmD8,3382,enabled,2424080,22706,"
